,Section,option_index,LCC,BC,ID,name,year,yes/no,dcrest,dberm,beta_target,transition_level
45,vak 28,72,38768.80250917433,0.48306767656423955,1,['Grondversterking binnenwaarts'],0,-999,1.0,12.0,-999,-999
46,vak 24,38,1611673.8300119913,0.4334113928675448,1,['Grondversterking binnenwaarts'],0,-999,0.5,10.0,-999,-999
47,vak 27,178,327516.02547381166,0.3984198375319868,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.5,5.0,-999,-999
48,vak 27,180,89046.43210550956,0.2450235470199704,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.5,8.0,-999,-999
49,vak 25,164,5072002.323831009,0.2327757269633898,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.25,8.0,-999,-999
50,vak 23,42,176845.71044715913,0.22082482772066614,1,['Grondversterking binnenwaarts'],0,-999,0.5,15.0,-999,-999
51,vak 24,178,1166699.3838400226,0.22061489526933656,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.5,5.0,-999,-999
52,vak 26,182,578055.7742769755,0.21103777561262413,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.5,10.0,-999,-999
53,vak 23,58,336492.84839150077,0.1927549814454662,1,['Grondversterking binnenwaarts'],0,-999,0.75,15.0,-999,-999
54,vak 24,194,346650.46584278904,0.1927549814454662,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.75,5.0,-999,-999
55,vak 25,180,998725.035594713,0.1927549814454662,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.5,8.0,-999,-999
56,vak 26,198,311470.7137891166,0.1927549814454662,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.75,10.0,-999,-999
57,vak 28,88,148501.84905720572,0.1927549814454662,1,['Grondversterking binnenwaarts'],0,-999,1.25,12.0,-999,-999
58,vak 29,224,650103.8278359761,0.1927549814454662,3,['Grondversterking met stabiliteitsscherm'],0,-999,1.25,0.0,-999,-999
59,vak 30,192,956870.966169225,0.1927549814454662,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.75,0.0,-999,-999
60,vak 31,48,607169.7229955524,0.1927549814454662,1,['Grondversterking binnenwaarts'],0,-999,0.75,0.0,-999,-999
61,vak 24,210,357144.829763134,0.10825593282460118,3,['Grondversterking met stabiliteitsscherm'],0,-999,1.0,5.0,-999,-999
62,vak 28,104,152458.41065619118,0.10825593282460118,1,['Grondversterking binnenwaarts'],0,-999,1.5,12.0,-999,-999
63,vak 29,240,654797.7186115608,0.10825593282460118,3,['Grondversterking met stabiliteitsscherm'],0,-999,1.5,0.0,-999,-999
64,vak 31,64,610509.7542283535,0.10825593282460118,1,['Grondversterking binnenwaarts'],0,-999,1.0,0.0,-999,-999
65,vak 27,196,121987.77485369565,0.13317587191581803,3,['Grondversterking met stabiliteitsscherm'],0,-999,0.75,8.0,-999,-999
66,vak 29,242,566501.8455713429,0.10405817193448769,3,['Grondversterking met stabiliteitsscherm'],0,-999,1.5,5.0,-999,-999
